"id","symbol","name","sector","subsector"
"359","BMM","Bogo Medellin Milling Company, Inc.","5","10"
"361","CA","Concrete Aggregates Corporation","5","13"
"362","CAB","Concrete Aggregates Corporation","5","13"
"366","CAT","Central Azucarera de Tarlac, Inc.","5","10"
"367","CIP","Chemical Industries of the Philippines, Inc.","5","18"
"370","ACE","Acesite (Phils.) Hotel Corporation","1","9"
"376","STI","STI Education Systems Holdings, Inc.","1","17"
"377","LIHC","Lodestar Investment Holdings Corporation","3","3"
"379","LMG","LMG Chemicals Corporation","5","18"
"382","MBC","Manila Broadcasting Company","1","4"
"383","MED","MEDCO Holdings, Inc.","4","5"
"391","BCOR","Berjaya Philippines Inc.","1","14"
"393","PTC","Philippine Trust Company","4","11"
"396","SCC","Semirara Mining and Power Corporation","6","8"
"402","SFI","Swift Foods, Inc.","5","10"
"413","TFC","PTFC Redevelopment Corporation","2","2"
"415","VMC","Victorias Milling Company, Inc.","5","10"
"417","SLI","Sta. Lucia Land, Inc.","2","2"
"418","T","TKC Metals Corporation","5","13"
"419","PRMX","Primex Corporation","2","2"
"466","SPC","SPC Power Corporation","5","7"
"468","BDO","BDO Unibank, Inc.","4","11"
"469","LBC","LBC Express Holdings, Inc.","5","13"
"510","NOW","Now Corporation","1","20"
"516","PERC","PetroEnergy Resources Corporation","6","15"
"518","MWC","Manila Water Company, Inc.","5","7"
"520","SM","SM Investments Corporation","3","3"
"521","FGEN","First Gen Corporation","5","7"
"522","COL","COL Financial Group, Inc.","4","5"
"524","FOOD","Alliance Select Foods International, Inc.","5","10"
"525","EDC","Energy Development Corporation","5","7"
"526","MPI","Metro Pacific Investments Corporation","3","3"
"529","NRCP","National Reinsurance Corporation of the Philippines","4","5"
"530","VLL","Vista Land & Lifescapes, Inc.","2","2"
"531","PNX","Phoenix Petroleum Philippines, Inc.","5","7"
"532","AP","Aboitiz Power Corporation","5","7"
"533","GMA7","GMA Network, Inc.","1","4"
"536","ALHI","Anchor Land Holdings, Inc.","2","2"
"541","ORE","Oriental Peninsula Resources Group, Inc.","6","8"
"543","PIP","Pepsi-Cola Products Philippines, Inc.","5","10"
"547","ANI","AgriNurture, Inc.","5","10"
"548","ALT","Alterra Capital Partners, Inc.","7","12"
"549","CPM","Century Peak Metals Holdings Corporation","6","8"
"551","IMI","Integrated Micro-Electronics, Inc.","5","19"
"560","CEB","Cebu Air, Inc.","1","1"
"561","NIKL","Nickel Asia Corporation","6","8"
"563","HOUSE","8990 Holdings, Inc.","2","2"
